Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
   1      1     11          1            1             0.04       0.04
   1      2      9          1            0             0.12       0.12
   1      3      8          1            0             0.12       0.12
   1      4      7          0            0             0.07       0.07
   1      5      6          1            1             0.04       0.04
   1      6      5          1            1             0.04       0.04
   1      7      4          0            0             0.07       0.07
   1      8      3          0            1             0.00       0.00
   1      9      2          0            1             0.00       0.00
   1     10     12          1            0             0.12       0.12
   1     11      1          1            1             0.04       0.04
   1     12     10          0            1             0.00       0.00
   2      1     11          1            1             0.04       0.08
   2      2      9          1            0             0.12       0.24
   2      3      8          1            1             0.04       0.16
   2      4      7          0            1             0.00       0.07
   2      5      6          1            1             0.04       0.08
   2      6      5          1            1             0.04       0.08
   2      7      4          1            0             0.12       0.19
   2      8      3          1            1             0.04       0.04
   2      9      2          0            1             0.00       0.00
   2     10     12          1            0             0.12       0.24
   2     11      1          1            1             0.04       0.08
   2     12     10          0            1             0.00       0.00
   3      1     11          1            1             0.04       0.12
   3      2      9          1            1             0.04       0.28
   3      3      8          1            1             0.04       0.20
   3      4      7          0            0             0.07       0.14
   3      5      6          1            1             0.04       0.12
   3      6      5          1            1             0.04       0.12
   3      7      4          0            0             0.07       0.26
   3      8      3          1            1             0.04       0.08
   3      9      2          1            1             0.04       0.04
   3     10     12          1            1             0.04       0.28
   3     11      1          1            1             0.04       0.12
   3     12     10          1            1             0.04       0.04
   4      1     11          1            1             0.04       0.16
   4      2      9          1            1             0.04       0.32
   4      3      8          1            1             0.04       0.24
   4      4      7          0            1             0.00       0.14
   4      5      6          0            0             0.07       0.19
   4      6      5          0            0             0.07       0.19
   4      7      4          1            0             0.12       0.38
   4      8      3          1            1             0.04       0.12
   4      9      2          1            1             0.04       0.08
   4     10     12          0            1             0.00       0.28
   4     11      1          1            1             0.04       0.16
   4     12     10          1            0             0.12       0.16
   5      1     11          1            0             0.12       0.28
   5      2      9          1            1             0.04       0.36
   5      3      8          1            1             0.04       0.28
   5      4      7          1            1             0.04       0.18
   5      5      6          0            0             0.07       0.26
   5      6      5          0            0             0.07       0.26
   5      7      4          1            1             0.04       0.42
   5      8      3          1            1             0.04       0.16
   5      9      2          1            1             0.04       0.12
   5     10     12          1            0             0.12       0.40
   5     11      1          0            1             0.00       0.16
   5     12     10          0            1             0.00       0.16
   6      1     11          0            1             0.00       0.28
   6      2      9          1            1             0.04       0.40
   6      3      8          1            1             0.04       0.32
   6      4      7          0            0             0.07       0.25
   6      5      6          0            0             0.07       0.33
   6      6      5          0            0             0.07       0.33
   6      7      4          0            0             0.07       0.49
   6      8      3          1            1             0.04       0.20
   6      9      2          1            1             0.04       0.16
   6     10     12          0            1             0.00       0.40
   6     11      1          1            0             0.12       0.28
   6     12     10          1            0             0.12       0.28
   7      1     11          1            0             0.12       0.40
   7      2      9          1            1             0.04       0.44
   7      3      8          1            1             0.04       0.36
   7      4      7          0            1             0.00       0.25
   7      5      6          0            1             0.00       0.33
   7      6      5          1            0             0.12       0.45
   7      7      4          1            0             0.12       0.61
   7      8      3          1            1             0.04       0.24
   7      9      2          1            1             0.04       0.20
   7     10     12          1            1             0.04       0.44
   7     11      1          0            1             0.00       0.28
   7     12     10          1            1             0.04       0.32
   8      1     11          0            1             0.00       0.40
   8      2      9          1            1             0.04       0.48
   8      3      8          1            1             0.04       0.40
   8      4      7          0            0             0.07       0.32
   8      5      6          1            1             0.04       0.37
   8      6      5          1            1             0.04       0.49
   8      7      4          0            0             0.07       0.68
   8      8      3          1            1             0.04       0.28
   8      9      2          1            1             0.04       0.24
   8     10     12          1            1             0.04       0.48
   8     11      1          1            0             0.12       0.40
   8     12     10          1            1             0.04       0.36
   9      1     11          1            0             0.12       0.52
   9      2      9          1            1             0.04       0.52
   9      3      8          1            1             0.04       0.44
   9      4      7          1            0             0.12       0.44
   9      5      6          1            1             0.04       0.41
   9      6      5          1            1             0.04       0.53
   9      7      4          0            1             0.00       0.68
   9      8      3          1            1             0.04       0.32
   9      9      2          1            1             0.04       0.28
   9     10     12          1            1             0.04       0.52
   9     11      1          0            1             0.00       0.40
   9     12     10          1            1             0.04       0.40
  10      1     11          1            1             0.04       0.56
  10      2      9          1            1             0.04       0.56
  10      3      8          1            1             0.04       0.48
  10      4      7          1            1             0.04       0.48
  10      5      6          0            1             0.00       0.41
