Experiment -> PARTY2
Endowment  ->   0.00
Chance to play computer ->  50.00%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
   1      1     10          0            1             0.00       0.00
   1      2      0          1            0             0.12       0.12
   1      3     11          1            0             0.12       0.12
   1      4      0          1            0             0.12       0.12
   1      5      6          1            0             0.12       0.12
   1      6      5          0            1             0.00       0.00
   1      7      0          1            0             0.12       0.12
   1      8      0          1            0             0.12       0.12
   1      9      0          1            0             0.12       0.12
   1     10      1          1            0             0.12       0.12
   1     11      3          0            1             0.00       0.00
   1     12     13          1            1             0.04       0.04
   1     13     12          1            1             0.04       0.04
   1     14      0          1            0             0.12       0.12
   2      1     10          1            1             0.04       0.04
   2      2      0          1            1             0.04       0.16
   2      3     11          0            1             0.00       0.12
   2      4      0          1            1             0.04       0.16
   2      5      6          1            0             0.12       0.24
   2      6      5          0            1             0.00       0.00
   2      7      0          0            1             0.00       0.12
   2      8      0          1            1             0.04       0.16
   2      9      0          1            1             0.04       0.16
   2     10      1          1            1             0.04       0.16
   2     11      3          1            0             0.12       0.12
   2     12     13          1            1             0.04       0.08
   2     13     12          1            1             0.04       0.08
   2     14      0          1            1             0.04       0.16
   3      1     10          1            0             0.12       0.16
   3      2      0          1            1             0.04       0.20
   3      3     11          1            1             0.04       0.16
   3      4      0          0            1             0.00       0.16
   3      5      6          1            1             0.04       0.28
   3      6      5          1            1             0.04       0.04
   3      7      0          0            0             0.07       0.19
   3      8      0          1            1             0.04       0.20
   3      9      0          0            1             0.00       0.16
   3     10      1          0            1             0.00       0.16
   3     11      3          1            1             0.04       0.16
   3     12     13          0            1             0.00       0.08
   3     13     12          1            0             0.12       0.20
   3     14      0          0            1             0.00       0.16
   4      1     10          1            0             0.12       0.28
   4      2      0          0            1             0.00       0.20
   4      3     11          1            1             0.04       0.20
   4      4      0          1            0             0.12       0.28
   4      5      6          1            0             0.12       0.40
   4      6      5          0            1             0.00       0.04
   4      7      0          1            0             0.12       0.31
   4      8      0          0            1             0.00       0.20
   4      9      0          1            0             0.12       0.28
   4     10      1          0            1             0.00       0.16
   4     11      3          1            1             0.04       0.20
   4     12     13          0            1             0.00       0.08
   4     13     12          1            0             0.12       0.32
   4     14      0          1            0             0.12       0.28
   5      1     10          1            1             0.04       0.32
   5      2      0          1            0             0.12       0.32
   5      3     11          1            1             0.04       0.24
   5      4      0          0            1             0.00       0.28
   5      5      6          1            1             0.04       0.44
   5      6      5          1            1             0.04       0.08
   5      7      0          0            1             0.00       0.31
   5      8      0          1            0             0.12       0.32
   5      9      0          1            1             0.04       0.32
   5     10      1          1            1             0.04       0.20
   5     11      3          1            1             0.04       0.24
   5     12     13          1            1             0.04       0.12
   5     13     12          1            1             0.04       0.36
   5     14      0          0            1             0.00       0.28
   6      1     10          1            1             0.04       0.36
   6      2      0          1            1             0.04       0.36
   6      3     11          0            1             0.00       0.24
   6      4      0          1            0             0.12       0.40
   6      5      6          1            1             0.04       0.48
   6      6      5          1            1             0.04       0.12
   6      7      0          0            0             0.07       0.38
   6      8      0          0            1             0.00       0.32
   6      9      0          1            1             0.04       0.36
   6     10      1          1            1             0.04       0.24
   6     11      3          1            0             0.12       0.36
   6     12     13          1            1             0.04       0.16
   6     13     12          1            1             0.04       0.40
   6     14      0          1            0             0.12       0.40
   7      1     10          1            1             0.04       0.40
   7      2      0          1            1             0.04       0.40
   7      3     11          1            1             0.04       0.28
   7      4      0          0            1             0.00       0.40
   7      5      6          0            1             0.00       0.48
   7      6      5          1            0             0.12       0.24
   7      7      0          0            0             0.07       0.45
   7      8      0          1            0             0.12       0.44
   7      9      0          1            1             0.04       0.40
   7     10      1          1            1             0.04       0.28
   7     11      3          1            1             0.04       0.40
   7     12     13          1            1             0.04       0.20
