Experiment -> RED
Endowment  ->   0.00
Chance to play computer ->   0.00%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
   1      1      2          0            1             0.00       0.00
   1      2      1          1            0             0.12       0.12
   1      3      8          0            1             0.00       0.00
   1      4      7          0            1             0.00       0.00
   1      5     11          1            1             0.04       0.04
   1      6     14          1            0             0.12       0.12
   1      7      4          1            0             0.12       0.12
   1      8      3          1            0             0.12       0.12
   1      9     13          1            1             0.04       0.04
   1     10     12          0            1             0.00       0.00
   1     11      5          1            1             0.04       0.04
   1     12     10          1            0             0.12       0.12
   1     13      9          1            1             0.04       0.04
   1     14      6          0            1             0.00       0.00
   2      1      2          1            1             0.04       0.04
   2      2      1          1            1             0.04       0.16
   2      3      8          1            1             0.04       0.04
   2      4      7          1            1             0.04       0.04
   2      5     11          1            1             0.04       0.08
   2      6     14          1            0             0.12       0.24
   2      7      4          1            1             0.04       0.16
   2      8      3          1            1             0.04       0.16
   2      9     13          1            1             0.04       0.08
   2     10     12          0            1             0.00       0.00
   2     11      5          1            1             0.04       0.08
   2     12     10          1            0             0.12       0.24
   2     13      9          1            1             0.04       0.08
   2     14      6          0            1             0.00       0.00
   3      1      2          1            1             0.04       0.08
   3      2      1          1            1             0.04       0.20
   3      3      8          1            1             0.04       0.08
   3      4      7          1            1             0.04       0.08
   3      5     11          0            1             0.00       0.08
   3      6     14          1            1             0.04       0.28
   3      7      4          1            1             0.04       0.20
   3      8      3          1            1             0.04       0.20
   3      9     13          1            0             0.12       0.20
   3     10     12          1            1             0.04       0.04
   3     11      5          1            0             0.12       0.20
   3     12     10          1            1             0.04       0.28
   3     13      9          0            1             0.00       0.08
   3     14      6          1            1             0.04       0.04
   4      1      2          1            1             0.04       0.12
   4      2      1          1            1             0.04       0.24
   4      3      8          1            1             0.04       0.12
   4      4      7          1            0             0.12       0.20
   4      5     11          0            1             0.00       0.08
   4      6     14          1            1             0.04       0.32
   4      7      4          0            1             0.00       0.20
   4      8      3          1            1             0.04       0.24
   4      9     13          1            1             0.04       0.24
   4     10     12          1            1             0.04       0.08
   4     11      5          1            0             0.12       0.32
   4     12     10          1            1             0.04       0.32
   4     13      9          1            1             0.04       0.12
   4     14      6          1            1             0.04       0.08
   5      1      2          1            0             0.12       0.24
   5      2      1          0            1             0.00       0.24
   5      3      8          1            0             0.12       0.24
   5      4      7          0            0             0.07       0.27
   5      5     11          0            1             0.00       0.08
   5      6     14          1            1             0.04       0.36
   5      7      4          0            0             0.07       0.27
   5      8      3          0            1             0.00       0.24
   5      9     13          0            1             0.00       0.24
   5     10     12          1            1             0.04       0.12
   5     11      5          1            0             0.12       0.44
   5     12     10          1            1             0.04       0.36
   5     13      9          1            0             0.12       0.24
   5     14      6          1            1             0.04       0.12
   6      1      2          1            0             0.12       0.36
   6      2      1          0            1             0.00       0.24
   6      3      8          0            1             0.00       0.24
   6      4      7          0            1             0.00       0.27
   6      5     11          1            1             0.04       0.12
   6      6     14          1            1             0.04       0.40
   6      7      4          1            0             0.12       0.39
   6      8      3          1            0             0.12       0.36
   6      9     13          1            1             0.04       0.28
   6     10     12          1            1             0.04       0.16
   6     11      5          1            1             0.04       0.48
   6     12     10          1            1             0.04       0.40
   6     13      9          1            1             0.04       0.28
   6     14      6          1            1             0.04       0.16
   7      1      2          1            1             0.04       0.40
   7      2      1          1            1             0.04       0.28
   7      3      8          1            1             0.04       0.28
   7      4      7          1            0             0.12       0.39
   7      5     11          1            1             0.04       0.16
   7      6     14          1            1             0.04       0.44
   7      7      4          0            1             0.00       0.39
   7      8      3          1            1             0.04       0.40
   7      9     13          1            1             0.04       0.32
   7     10     12          1            1             0.04       0.20
   7     11      5          1            1             0.04       0.52
   7     12     10          1            1             0.04       0.44
   7     13      9          1            1             0.04       0.32
   7     14      6          1            1             0.04       0.20
   8      1      2          1            1             0.04       0.44
   8      2      1          1            1             0.04       0.32
   8      3      8          1            1             0.04       0.32
   8      4      7          0            1             0.00       0.39
   8      5     11          1            1             0.04       0.20
   8      6     14          1            1             0.04       0.48
   8      7      4          1            0             0.12       0.51
   8      8      3          1            1             0.04       0.44
   8      9     13          1            1             0.04       0.36
   8     10     12          1            1             0.04       0.24
   8     11      5          1            1             0.04       0.56
   8     12     10          1            1             0.04       0.48
   8     13      9          1            1             0.04       0.36
   8     14      6          1            1             0.04       0.24
   9      1      2          1            1             0.04       0.48
   9      2      1          1            1             0.04       0.36
   9      3      8          1            1             0.04       0.36
   9      4      7          1            1             0.04       0.43
   9      5     11          1            1             0.04       0.24
   9      6     14          1            1             0.04       0.52
   9      7      4          1            1             0.04       0.55
   9      8      3          1            1             0.04       0.48
   9      9     13          1            1             0.04       0.40
   9     10     12          1            1             0.04       0.28
   9     11      5          1            1             0.04       0.60
   9     12     10          1            1             0.04       0.52
   9     13      9          1            1             0.04       0.40
   9     14      6          1            1             0.04       0.28
  10      1      2          1            0             0.12       0.60
  10      2      1          0            1             0.00       0.36
  10      3      8          1            0             0.12       0.48
  10      4      7          1            1             0.04       0.47
  10      5     11          1            1             0.04       0.28
  10      6     14          1            1             0.04       0.56
  10      7      4          1            1             0.04       0.59
  10      8      3          0            1             0.00       0.48
  10      9     13          1            1             0.04       0.44
  10     10     12          1            1             0.04       0.32
  10     11      5          1            1             0.04       0.64
  10     12     10          1            1             0.04       0.56
  10     13      9          1            1             0.04       0.44
  10     14      6          1            1             0.04       0.32
  11      1      8          0            1             0.00       0.60
  11      2      3          1            0             0.12       0.48
  11      3      2          0            1             0.00       0.48
  11      4      6          1            1             0.04       0.51
  11      5     10          0            1             0.00       0.28
  11      6      4          1            1             0.04       0.60
  11      7     12          0            1             0.00       0.59
  11      8      1          1            0             0.12       0.60
  11      9     13          1            1             0.04       0.48
  11     10      5          1            0             0.12       0.44
  11     11     14          1            0             0.12       0.76
  11     12      7          1            0             0.12       0.68
  11     13      9          1            1             0.04       0.48
  11     14     11          0            1             0.00       0.32
  12      1      8          1            1             0.04       0.64
  12      2      3          1            1             0.04       0.52
  12      3      2          1            1             0.04       0.52
  12      4      6          1            1             0.04       0.55
  12      5     10          0            1             0.00       0.28
  12      6      4          1            1             0.04       0.64
  12      7     12          1            1             0.04       0.63
  12      8      1          1            1             0.04       0.64
  12      9     13          0            0             0.07       0.55
  12     10      5          1            0             0.12       0.56
  12     11     14          1            0             0.12       0.88
  12     12      7          1            1             0.04       0.72
  12     13      9          0            0             0.07       0.55
  12     14     11          0            1             0.00       0.32
  13      1      8          1            1             0.04       0.68
  13      2      3          1            1             0.04       0.56
  13      3      2          1            1             0.04       0.56
  13      4      6          0            1             0.00       0.55
  13      5     10          0            1             0.00       0.28
  13      6      4          1            0             0.12       0.76
  13      7     12          1            1             0.04       0.67
  13      8      1          1            1             0.04       0.68
  13      9     13          0            0             0.07       0.62
  13     10      5          1            0             0.12       0.68
  13     11     14          1            1             0.04       0.92
  13     12      7          1            1             0.04       0.76
  13     13      9          0            0             0.07       0.62
  13     14     11          1            1             0.04       0.36
  14      1      8          1            1             0.04       0.72
  14      2      3          1            1             0.04       0.60
  14      3      2          1            1             0.04       0.60
  14      4      6          1            1             0.04       0.59
  14      5     10          1            1             0.04       0.32
  14      6      4          1            1             0.04       0.80
  14      7     12          1            1             0.04       0.71
  14      8      1          1            1             0.04       0.72
  14      9     13          1            1             0.04       0.66
  14     10      5          1            1             0.04       0.72
  14     11     14          1            1             0.04       0.96
  14     12      7          1            1             0.04       0.80
  14     13      9          1            1             0.04       0.66
  14     14     11          1            1             0.04       0.40
  15      1      8          1            1             0.04       0.76
  15      2      3          1            1             0.04       0.64
  15      3      2          1            1             0.04       0.64
  15      4      6          1            1             0.04       0.63
  15      5     10          1            1             0.04       0.36
  15      6      4          1            1             0.04       0.84
  15      7     12          1            1             0.04       0.75
  15      8      1          1            1             0.04       0.76
  15      9     13          0            0             0.07       0.73
  15     10      5          1            1             0.04       0.76
  15     11     14          1            1             0.04       1.00
  15     12      7          1            1             0.04       0.84
  15     13      9          0            0             0.07       0.73
  15     14     11          1            1             0.04       0.44
  16      1      8          1            1             0.04       0.80
  16      2      3          0            1             0.00       0.64
  16      3      2          1            0             0.12       0.76
