Experiment -> STGR
Endowment  ->   0.00
Chance to play computer ->   0.00%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
   1      1      2          0            1             0.00       0.00
   1      2      1          1            0             0.12       0.12
   1      3     10          0            1             0.00       0.00
   1      4     14          0            1             0.00       0.00
   1      5      7          0            0             0.07       0.07
   1      6     11          1            1             0.04       0.04
   1      7      5          0            0             0.07       0.07
   1      8     12          1            1             0.04       0.04
   1      9     13          1            0             0.12       0.12
   1     10      3          1            0             0.12       0.12
   1     11      6          1            1             0.04       0.04
   1     12      8          1            1             0.04       0.04
   1     13      9          0            1             0.00       0.00
   1     14      4          1            0             0.12       0.12
   2      1      8          1            1             0.04       0.04
   2      2     10          1            0             0.12       0.24
   2      3      4          1            1             0.04       0.04
   2      4      3          1            1             0.04       0.04
   2      5     12          0            1             0.00       0.07
   2      6     13          0            1             0.00       0.04
   2      7     14          0            1             0.00       0.07
   2      8      1          1            1             0.04       0.08
   2      9     11          1            1             0.04       0.16
   2     10      2          0            1             0.00       0.12
   2     11      9          1            1             0.04       0.08
   2     12      5          1            0             0.12       0.16
   2     13      6          1            0             0.12       0.12
   2     14      7          1            0             0.12       0.24
   3      1      7          1            0             0.12       0.16
   3      2     12          1            1             0.04       0.28
   3      3     10          1            1             0.04       0.08
   3      4      5          1            0             0.12       0.16
   3      5      4          0            1             0.00       0.07
   3      6      9          1            1             0.04       0.08
   3      7      1          0            1             0.00       0.07
   3      8     13          1            1             0.04       0.12
   3      9      6          1            1             0.04       0.20
   3     10      3          1            1             0.04       0.16
   3     11     14          1            1             0.04       0.12
   3     12      2          1            1             0.04       0.20
   3     13      8          1            1             0.04       0.16
   3     14     11          1            1             0.04       0.28
   4      1      2          1            1             0.04       0.20
   4      2      1          1            1             0.04       0.32
   4      3     12          1            1             0.04       0.12
   4      4      9          1            1             0.04       0.20
   4      5      7          0            1             0.00       0.07
   4      6      8          1            1             0.04       0.12
   4      7      5          1            0             0.12       0.19
   4      8      6          1            1             0.04       0.16
   4      9      4          1            1             0.04       0.24
   4     10     14          1            1             0.04       0.20
   4     11     13          1            0             0.12       0.24
   4     12      3          1            1             0.04       0.24
   4     13     11          0            1             0.00       0.16
   4     14     10          1            1             0.04       0.32
   5      1      6          1            1             0.04       0.24
   5      2      4          1            1             0.04       0.36
   5      3      9          1            1             0.04       0.16
   5      4      2          1            1             0.04       0.24
   5      5      7          1            0             0.12       0.19
   5      6      1          1            1             0.04       0.16
   5      7      5          0            1             0.00       0.19
   5      8     14          1            1             0.04       0.20
   5      9      3          1            1             0.04       0.28
   5     10     11          1            1             0.04       0.24
   5     11     10          1            1             0.04       0.28
   5     12     13          1            1             0.04       0.28
   5     13     12          1            1             0.04       0.20
   5     14      8          1            1             0.04       0.36
   6      1      6          1            1             0.04       0.28
   6      2     11          1            1             0.04       0.40
   6      3     10          1            1             0.04       0.20
   6      4     13          1            1             0.04       0.28
   6      5     14          0            1             0.00       0.19
   6      6      1          1            1             0.04       0.20
   6      7     12          0            0             0.07       0.26
   6      8      9          1            1             0.04       0.24
   6      9      8          1            1             0.04       0.32
   6     10      3          1            1             0.04       0.28
   6     11      2          1            1             0.04       0.32
   6     12      7          0            0             0.07       0.35
   6     13      4          1            1             0.04       0.24
   6     14      5          1            0             0.12       0.48
   7      1      8          1            1             0.04       0.32
   7      2     12          1            1             0.04       0.44
   7      3     14          1            1             0.04       0.24
   7      4      7          1            0             0.12       0.40
   7      5     13          0            1             0.00       0.19
   7      6     11          1            1             0.04       0.24
   7      7      4          0            1             0.00       0.26
   7      8      1          1            1             0.04       0.28
   7      9     10          1            0             0.12       0.44
   7     10      9          0            1             0.00       0.28
   7     11      6          1            1             0.04       0.36
   7     12      2          1            1             0.04       0.39
   7     13      5          1            0             0.12       0.36
   7     14      3          1            1             0.04       0.52
   8      1      3          1            1             0.04       0.36
   8      2      7          1            0             0.12       0.56
   8      3      1          1            1             0.04       0.28
   8      4      5          1            1             0.04       0.44
   8      5      4          1            1             0.04       0.23
   8      6     10          1            1             0.04       0.28
   8      7      2          0            1             0.00       0.26
   8      8     13          1            1             0.04       0.32
   8      9     11          1            1             0.04       0.48
   8     10      6          1            1             0.04       0.32
   8     11      9          1            1             0.04       0.40
   8     12     14          0            1             0.00       0.39
   8     13      8          1            1             0.04       0.40
   8     14     12          1            0             0.12       0.64
   9      1      7          1            0             0.12       0.48
   9      2      6          1            1             0.04       0.60
   9      3     14          1            1             0.04       0.32
   9      4     10          1            1             0.04       0.48
   9      5     12          1            1             0.04       0.27
   9      6      2          1            1             0.04       0.32
   9      7      1          0            1             0.00       0.26
   9      8     11          1            1             0.04       0.36
   9      9     13          1            0             0.12       0.60
   9     10      4          1            1             0.04       0.36
   9     11      8          1            1             0.04       0.44
   9     12      5          1            1             0.04       0.43
   9     13      9          0            1             0.00       0.40
   9     14      3          1            1             0.04       0.68
  10      1     14          1            1             0.04       0.52
  10      2     11          1            1             0.04       0.64
  10      3      5          1            1             0.04       0.36
  10      4      7          1            1             0.04       0.52
  10      5      3          1            1             0.04       0.31
  10      6      8          0            1             0.00       0.32
  10      7      4          1            1             0.04       0.30
  10      8      6          1            0             0.12       0.48
  10      9     10          1            1             0.04       0.64
  10     10      9          1            1             0.04       0.40
  10     11      2          1            1             0.04       0.48
  10     12     13          1            1             0.04       0.47
  10     13     12          1            1             0.04       0.44
  10     14      1          1            1             0.04       0.72
  11      1     12          0            1             0.00       0.52
  11      2      6          0            1             0.00       0.64
  11      3     13          0            0             0.07       0.43
  11      4     11          1            1             0.04       0.56
  11      5      9          1            1             0.04       0.35
  11      6      2          1            0             0.12       0.44
  11      7     10          0            1             0.00       0.30
  11      8     14          1            1             0.04       0.52
  11      9      5          1            1             0.04       0.68
  11     10      7          1            0             0.12       0.52
  11     11      4          1            1             0.04       0.52
  11     12      1          1            0             0.12       0.59
  11     13      3          0            0             0.07       0.51
  11     14      8          1            1             0.04       0.76
  12      1     12          0            1             0.00       0.52
  12      2     11          0            1             0.00       0.64
  12      3      5          0            1             0.00       0.43
  12      4     13          1            0             0.12       0.68
  12      5      3          1            0             0.12       0.47
  12      6      9          1            1             0.04       0.48
  12      7      8          0            1             0.00       0.30
  12      8      7          1            0             0.12       0.64
  12      9      6          1            1             0.04       0.72
  12     10     14          0            1             0.00       0.52
  12     11      2          1            0             0.12       0.64
  12     12      1          1            0             0.12       0.71
  12     13      4          0            1             0.00       0.51
  12     14     10          1            0             0.12       0.88
  13      1     10          1            0             0.12       0.64
  13      2     13          0            1             0.00       0.64
  13      3      8          1            1             0.04       0.47
  13      4      7          1            1             0.04       0.72
  13      5      9          0            1             0.00       0.47
  13      6     12          0            1             0.00       0.48
  13      7      4          1            1             0.04       0.34
  13      8      3          1            1             0.04       0.68
  13      9      5          1            0             0.12       0.84
  13     10      1          0            1             0.00       0.52
  13     11     14          1            1             0.04       0.68
  13     12      6          1            0             0.12       0.83
  13     13      2          1            0             0.12       0.63
  13     14     11          1            1             0.04       0.92
  14      1      9          1            1             0.04       0.68
  14      2     11          1            1             0.04       0.68
  14      3     12          1            1             0.04       0.51
  14      4      6          1            1             0.04       0.76
  14      5     14          0            1             0.00       0.47
  14      6      4          1            1             0.04       0.52
  14      7      8          0            1             0.00       0.34
  14      8      7          1            0             0.12       0.80
  14      9      1          1            1             0.04       0.88
  14     10     13          1            0             0.12       0.64
  14     11      2          1            1             0.04       0.72
  14     12      3          1            1             0.04       0.87
  14     13     10          0            1             0.00       0.63
  14     14      5          1            0             0.12       1.04
  15      1      2          1            1             0.04       0.72
  15      2      1          1            1             0.04       0.72
  15      3     11          1            1             0.04       0.55
  15      4      6          1            0             0.12       0.88
  15      5      8          0            1             0.00       0.47
  15      6      4          0            1             0.00       0.52
  15      7     10          1            0             0.12       0.46
  15      8      5          1            0             0.12       0.92
  15      9     14          1            1             0.04       0.92
  15     10      7          0            1             0.00       0.64
  15     11      3          1            1             0.04       0.76
  15     12     13          1            1             0.04       0.91
  15     13     12          1            1             0.04       0.67
  15     14      9          1            1             0.04       1.08
  16      1      8          1            1             0.04       0.76
  16      2     11          1            1             0.04       0.76
  16      3     12          1            1             0.04       0.59
