Experiment -> ORANGE
Endowment  ->   0.00
Chance to play computer -> 100.00%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
   1      1      0          0            0             0.07       0.07
   1      2      0          0            0             0.07       0.07
   1      3      0          0            0             0.07       0.07
   1      4      0          0            0             0.07       0.07
   1      5      0          1            0             0.12       0.12
   1      6      0          0            0             0.07       0.07
   1      7      0          0            0             0.07       0.07
   1      8      0          0            0             0.07       0.07
   1      9      0          1            0             0.12       0.12
   1     10      0          0            0             0.07       0.07
   1     11      0          0            0             0.07       0.07
   1     12      0          0            0             0.07       0.07
   1     13      0          0            0             0.07       0.07
   1     14      0          0            0             0.07       0.07
   2      1      0          1            0             0.12       0.19
   2      2      0          0            0             0.07       0.14
   2      3      0          0            0             0.07       0.14
   2      4      0          0            0             0.07       0.14
   2      5      0          0            1             0.00       0.12
   2      6      0          0            0             0.07       0.14
   2      7      0          0            0             0.07       0.14
   2      8      0          1            0             0.12       0.19
   2      9      0          0            1             0.00       0.12
   2     10      0          0            0             0.07       0.14
   2     11      0          0            0             0.07       0.14
   2     12      0          1            0             0.12       0.19
   2     13      0          0            0             0.07       0.14
   2     14      0          0            0             0.07       0.14
   3      1      0          0            1             0.00       0.19
   3      2      0          0            0             0.07       0.21
   3      3      0          0            0             0.07       0.21
   3      4      0          0            0             0.07       0.21
   3      5      0          0            0             0.07       0.19
   3      6      0          0            0             0.07       0.21
   3      7      0          0            0             0.07       0.21
   3      8      0          0            1             0.00       0.19
   3      9      0          1            0             0.12       0.24
   3     10      0          0            0             0.07       0.21
   3     11      0          0            0             0.07       0.21
   3     12      0          1            1             0.04       0.23
   3     13      0          0            0             0.07       0.21
   3     14      0          0            0             0.07       0.21
   4      1      0          0            0             0.07       0.26
   4      2      0          0            0             0.07       0.28
   4      3      0          0            0             0.07       0.28
   4      4      0          0            0             0.07       0.28
   4      5      0          0            0             0.07       0.26
   4      6      0          0            0             0.07       0.28
   4      7      0          0            0             0.07       0.28
   4      8      0          1            0             0.12       0.31
   4      9      0          0            1             0.00       0.24
   4     10      0          0            0             0.07       0.28
   4     11      0          0            0             0.07       0.28
   4     12      0          0            1             0.00       0.23
   4     13      0          0            0             0.07       0.28
   4     14      0          0            0             0.07       0.28
   5      1      0          1            0             0.12       0.38
   5      2      0          0            0             0.07       0.35
   5      3      0          0            0             0.07       0.35
   5      4      0          0            0             0.07       0.35
   5      5      0          0            0             0.07       0.33
   5      6      0          0            0             0.07       0.35
   5      7      0          0            0             0.07       0.35
   5      8      0          0            1             0.00       0.31
   5      9      0          1            0             0.12       0.36
   5     10      0          0            0             0.07       0.35
   5     11      0          0            0             0.07       0.35
   5     12      0          1            0             0.12       0.35
   5     13      0          0            0             0.07       0.35
   5     14      0          0            0             0.07       0.35
   6      1      0          0            1             0.00       0.38
   6      2      0          0            0             0.07       0.42
   6      3      0          0            0             0.07       0.42
   6      4      0          0            0             0.07       0.42
   6      5      0          0            0             0.07       0.40
   6      6      0          0            0             0.07       0.42
   6      7      0          0            0             0.07       0.42
   6      8      0          0            0             0.07       0.38
   6      9      0          1            1             0.04       0.40
   6     10      0          0            0             0.07       0.42
   6     11      0          0            0             0.07       0.42
   6     12      0          0            1             0.00       0.35
   6     13      0          0            0             0.07       0.42
   6     14      0          0            0             0.07       0.42
   7      1      0          1            0             0.12       0.50
   7      2      0          0            0             0.07       0.49
   7      3      0          0            0             0.07       0.49
   7      4      0          0            0             0.07       0.49
   7      5      0          0            0             0.07       0.47
   7      6      0          0            0             0.07       0.49
   7      7      0          0            0             0.07       0.49
   7      8      0          0            0             0.07       0.45
   7      9      0          1            1             0.04       0.44
   7     10      0          0            0             0.07       0.49
   7     11      0          0            0             0.07       0.49
   7     12      0          1            0             0.12       0.47
   7     13      0          0            0             0.07       0.49
   7     14      0          0            0             0.07       0.49
   8      1      0          0            1             0.00       0.50
   8      2      0          0            0             0.07       0.56
   8      3      0          0            0             0.07       0.56
   8      4      0          0            0             0.07       0.56
   8      5      0          0            0             0.07       0.54
   8      6      0          0            0             0.07       0.56
   8      7      0          0            0             0.07       0.56
   8      8      0          0            0             0.07       0.52
   8      9      0          0            1             0.00       0.44
   8     10      0          0            0             0.07       0.56
   8     11      0          0            0             0.07       0.56
   8     12      0          0            1             0.00       0.47
   8     13      0          0            0             0.07       0.56
   8     14      0          0            0             0.07       0.56
   9      1      0          1            0             0.12       0.62
   9      2      0          0            0             0.07       0.63
   9      3      0          0            0             0.07       0.63
   9      4      0          0            0             0.07       0.63
   9      5      0          0            0             0.07       0.61
   9      6      0          0            0             0.07       0.63
   9      7      0          0            0             0.07       0.63
   9      8      0          0            0             0.07       0.59
   9      9      0          1            0             0.12       0.56
   9     10      0          0            0             0.07       0.63
   9     11      0          0            0             0.07       0.63
   9     12      0          1            0             0.12       0.59
   9     13      0          0            0             0.07       0.63
   9     14      0          0            0             0.07       0.63
  10      1      0          1            1             0.04       0.66
  10      2      0          1            0             0.12       0.75
  10      3      0          1            0             0.12       0.75
  10      4      0          1            0             0.12       0.75
  10      5      0          0            0             0.07       0.68
  10      6      0          1            0             0.12       0.75
  10      7      0          1            0             0.12       0.75
  10      8      0          1            0             0.12       0.71
  10      9      0          1            1             0.04       0.60
  10     10      0          1            0             0.12       0.75
  10     11      0          1            0             0.12       0.75
  10     12      0          0            1             0.00       0.59
  10     13      0          0            0             0.07       0.70
  10     14      0          0            0             0.07       0.70
